t,context,y,nll,nll0,overconfident_memory_nll,memory_only_nll,fixed_half_nll,cumulative_nll,cumulative_nll0,no_harm_slack,accuracy,base_accuracy,ece,brier,base_brier,w_lambda_0,w_lambda_0.05,w_lambda_0.1,w_lambda_0.2,w_lambda_0.4,w_lambda_0.7,w_lambda_1
1,13,31,4.560676427909175,4.560676427909175,4.560676427909175,4.560676427909175,4.560676427909175,4.560676427909175,4.560676427909175,-1.9459101490553132,0.0,0.0,0.04745936429498441,1.004042049536602,1.004042049536602,0.14285714285714288,0.14285714285714288,0.1428571428571429,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288
2,13,3,3.732535562233319,3.6409683687078287,27.631021115928547,3.9286504411596095,3.774499761332351,8.293211990142494,8.201644796617003,-1.854342955529823,0.0,0.0,0.0722497688291361,0.9822380793979817,0.9724981499075835,0.15655577299412918,0.15459882583170254,0.15264187866927598,0.1487279843444227,0.14090019569471623,0.12915851272015655,0.11741682974559686
3,13,28,3.7839019376216463,3.6483444513612056,27.631021115928547,4.1591700751271965,3.8714880026754153,12.07711392776414,11.84998924797821,-1.7187854692693827,0.0,0.0,0.07692905830178666,0.9856551503926282,0.9728836305618879,0.17928376137331364,0.17350186006902424,0.16780960064542158,0.15669400744027612,0.13553852359822507,0.10649455425574827,0.08067769261799113
4,13,28,2.7039443056953507,3.6483444513612056,1.0986122886884437,1.7165568417276216,2.2743963664540865,14.78105823345949,15.498333699339415,-2.663185614935239,0.0,0.0,0.07447380348684063,0.8956007304239577,0.9728836305618879,0.0697257481904519,0.08738903299840622,0.1037806364263813,0.13287225214277848,0.17715329002005614,0.21252295295873086,0.2165560872631952
5,13,12,4.0279754872441185,3.7093388967865573,27.631021115928547,4.556636757173761,4.045811133407771,18.80903372070361,19.207672596125974,-2.3445490244776774,0.0,0.0,0.09065116717426308,1.014296367654847,0.9759645969696958,0.09589043662065846,0.11674812632417458,0.1345687871339831,0.16184901425761605,0.18794338954755607,0.17536350011298993,0.12763674600302188
6,13,3,2.7001195395574893,3.6409683687078287,1.6094379124459008,2.0037027258914692,2.5191128601174197,21.5091532602611,22.848640964833802,-3.285397853628014,0.0,0.0,0.09457668291393324,0.9039045864041241,0.9724981499075835,0.03742569218358848,0.055001102172066246,0.07427144138029718,0.11548689694237431,0.19485929791951484,0.2668460607464777,0.2561095086556813
7,13,24,5.683541942180874,5.222437214418368,27.631021115928547,6.321049503086478,5.627902322526532,27.192695202441975,28.07107817925217,-2.8242931258655073,0.0,0.0,0.10101946291154165,1.0518560033778828,1.0141636858466359,0.05935059540580403,0.0843147146353935,0.1099294025847701,0.15872306613896228,0.2266093360796798,0.22569127125195115,0.1353816139034391
8,13,12,2.8100687493915806,3.7093388967865573,1.9459101490634565,2.2316783306166497,2.7192995583088813,30.002763951833554,31.780417076038727,-3.7235632732604866,0.0,0.0,0.10145546275717376,0.9209160416430561,0.9759645969696958,0.024147769261830255,0.04010694801072984,0.05985616951283617,0.10826919322904738,0.21695267156168754,0.30925936165927403,0.24140788676459482
9,13,28,2.123760501674158,3.6483444513612056,1.3862943611273908,1.6664400156106154,2.230484871806457,32.12652445350771,35.428761527399935,-5.248147222947535,0.0,0.0,0.10348189276386571,0.8177599564562825,0.9728836305618879,0.005257249893214361,0.011463279327257088,0.021184532971586748,0.05306666364218823,0.16543964997802954,0.3622039668514238,0.38138465733630017
10,13,28,1.657122080666645,3.6483444513612056,1.0986122886748877,1.3605932874460862,1.9570726195372679,33.78364653417436,39.07710597876114,-7.239369593642094,0.1,0.0,0.11505765323227993,0.702143803866442,0.9728836305618879,0.0007177641005676579,0.002257819852232991,0.005452765762758669,0.020072943459352177,0.10257085871549275,0.35589634217992877,0.513031505929667
