method,prequential_nll_mean,heldout_nll_mean,prequential_accuracy_mean,heldout_accuracy_mean,heldout_brier_mean,atoms_mean,edges_mean,cells_mean,edge_precision_mean,edge_recall_mean,edge_f1_mean,true_edges_mean,false_edges_mean
repair_only,0.6972533355488139,0.6938897407205464,0.5005866666666666,0.5017666666666667,0.2503702818255177,100.0,0.0,100.0,,,,,
frequency_only,0.6657400576521566,0.6460989448111601,0.5306133333333334,0.53975,0.2320576442267221,200.0,100.0,200.0,0.08,0.08,0.08,8.0,92.0
additive_logistic,0.680055678994982,0.6740310145514951,0.57099,0.5805333333333333,0.2406125747020075,121.0,0.0,121.0,,,,,
crossed_logistic,0.18825322415371923,0.11732894084927917,0.9517866666666667,0.9795333333333334,0.022207864753322336,2001.0,0.0,2001.0,,,,,
cache_200,0.6955540222877239,0.6991393170288117,0.5004433333333334,0.49749999999999994,0.2529553204660399,200.0,0.0,200.0,,,,,
cache_500,0.694148517620619,0.6946619145415112,0.5006966666666667,0.49928333333333336,0.250755096141919,500.0,0.0,500.0,,,,,
cache_2000,0.6934603752883473,0.6933113533269916,0.4996266666666667,0.4993333333333333,0.2500822345925618,2000.0,0.0,2000.0,,,,,
local_stump,0.22913393250887387,0.09945289901702108,0.8786400000000001,0.9800333333333333,0.019641173586608877,200.0,100.0,200.0,1.0,1.0,1.0,100.0,0.0
dgm_hqs,0.22913393250887387,0.09945289901702108,0.8786400000000001,0.9800333333333333,0.019641173586608877,200.0,100.0,200.0,1.0,1.0,1.0,100.0,0.0
oracle_refined,0.10699252637787707,0.09921798911348698,0.9789233333333334,0.9800333333333333,0.0196296400842925,200.0,100.0,200.0,,,,,
